Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	584.01	-585.965	-464.256				782.109	-719.189	-466.977	779.278	-439.367	-516.071	410.824	-442.121	-385.243
2	0	584.008	-585.964	-464.257				782.115	-719.193	-466.985	779.288	-439.381	-516.071	410.829	-442.12	-385.243
3	0	584.01	-585.965	-464.256				783.099	-718.687	-467.477	779.647	-439.359	-516.177	410.828	-442.12	-385.244
4	0	584.009	-585.961	-464.259				783.104	-718.682	-467.479	779.645	-439.361	-516.18	410.829	-442.118	-385.245
5	0	584.01	-585.96	-464.256				783.092	-718.694	-467.468	779.632	-439.366	-516.174	410.827	-442.116	-385.242
6	0	584.007	-585.957	-464.258				783.069	-718.718	-467.459	779.618	-439.372	-516.169	410.832	-442.112	-385.234
7	0	584.005	-585.953	-464.256				783.054	-718.73	-467.466	779.617	-439.364	-516.174	410.832	-442.11	-385.228
8	0	584.003	-585.951	-464.255				783.06	-718.723	-467.469	779.615	-439.376	-516.177	410.827	-442.104	-385.227
9	0	583.996	-585.95	-464.25				783.069	-718.714	-467.471	779.604	-439.373	-516.186	410.823	-442.094	-385.224
10	0	583.991	-585.946	-464.253				783.06	-718.724	-467.479	779.598	-439.373	-516.19	410.824	-442.089	-385.212
11	0	583.984	-585.941	-464.251				783.057	-718.727	-467.481	779.591	-439.383	-516.197	410.823	-442.089	-385.209
12	0	583.978	-585.939	-464.252				783.05	-718.736	-467.488	779.583	-439.374	-516.203	410.826	-442.086	-385.197
13	0	583.976	-585.935	-464.251				783.046	-718.734	-467.492	779.583	-439.368	-516.204	410.827	-442.083	-385.185
14	0	583.969	-585.939	-464.245				783.059	-718.723	-467.497	779.576	-439.388	-516.21	410.827	-442.081	-385.182
15	0	583.969	-585.941	-464.244				783.061	-718.719	-467.512	779.582	-439.388	-516.22	410.83	-442.078	-385.172
16	0	583.965	-585.947	-464.242				783.065	-718.718	-467.525	779.595	-439.385	-516.226	410.831	-442.07	-385.167
17	0	583.96	-585.94	-464.239				783.056	-718.72	-467.529	779.587	-439.39	-516.231	410.831	-442.071	-385.161
18	0	583.96	-585.938	-464.237				783.059	-718.715	-467.529	779.58	-439.396	-516.236	410.835	-442.063	-385.153
19	0	583.951	-585.937	-464.239				783.05	-718.719	-467.538	779.578	-439.395	-516.239	410.834	-442.064	-385.146
20	0	583.948	-585.934	-464.235				783.048	-718.718	-467.542	779.57	-439.412	-516.245	410.834	-442.059	-385.136
21	0	583.944	-585.932	-464.23				783.049	-718.712	-467.543	779.568	-439.397	-516.246	410.834	-442.054	-385.126
22	0	583.943	-585.936	-464.231				783.048	-718.712	-467.546	779.557	-439.416	-516.254	410.829	-442.056	-385.119
23	0	583.939	-585.931	-464.229				783.048	-718.7	-467.547	779.562	-439.412	-516.255	410.825	-442.053	-385.118
24	0	583.937	-585.934	-464.228				783.038	-718.707	-467.555	779.559	-439.397	-516.255	410.824	-442.052	-385.109
25	0	583.932	-585.932	-464.225				783.033	-718.706	-467.556	779.561	-439.399	-516.254	410.822	-442.051	-385.107
26	0	583.932	-585.931	-464.221				783.027	-718.719	-467.56	779.552	-439.417	-516.259	410.822	-442.053	-385.101
27	0	583.931	-585.932	-464.223				783.038	-718.704	-467.565	779.552	-439.4	-516.258	410.827	-442.051	-385.096
28	0	583.928	-585.926	-464.222				783.034	-718.711	-467.567	779.552	-439.397	-516.259	410.827	-442.049	-385.093
29	0	583.926	-585.928	-464.222				783.036	-718.699	-467.566	779.549	-439.394	-516.26	410.824	-442.049	-385.093
30	0	583.924	-585.928	-464.225				783.025	-718.714	-467.58	779.544	-439.388	-516.257	410.822	-442.049	-385.089
31	0	583.922	-585.926	-464.225				783.038	-718.697	-467.572	779.546	-439.385	-516.257	410.824	-442.056	-385.084
32	0	583.922	-585.931	-464.227				783.036	-718.7	-467.574	779.545	-439.381	-516.257	410.82	-442.055	-385.081
33	0	583.921	-585.928	-464.233				783.039	-718.693	-467.576	779.545	-439.377	-516.257	410.819	-442.06	-385.087
34	0	583.922	-585.918	-464.229				783.036	-718.698	-467.578	779.534	-439.38	-516.254	410.817	-442.062	-385.086
35	0	583.922	-585.919	-464.23				783.03	-718.705	-467.577	779.543	-439.355	-516.252	410.821	-442.062	-385.086
36	0	583.925	-585.917	-464.232				783.038	-718.696	-467.576	779.528	-439.375	-516.249	410.818	-442.066	-385.086
37	0	583.928	-585.924	-464.232				783.046	-718.688	-467.576	779.542	-439.355	-516.247	410.816	-442.068	-385.09
38	0	583.928	-585.917	-464.24				783.04	-718.691	-467.576	779.54	-439.37	-516.245	410.816	-442.069	-385.097
39	0	583.932	-585.917	-464.238				783.043	-718.687	-467.575	779.547	-439.347	-516.241	410.815	-442.07	-385.098
40	0	583.937	-585.921	-464.243				783.054	-718.685	-467.573	779.548	-439.35	-516.238	410.818	-442.071	-385.104
41	0	583.938	-585.921	-464.241				783.049	-718.692	-467.573	779.504	-439.369	-516.31	410.817	-442.073	-385.107
42	0	583.945	-585.925	-464.241				783.04	-718.702	-467.567	779.553	-439.357	-516.232	410.813	-442.076	-385.117
43	0	583.948	-585.922	-464.243				783.051	-718.692	-467.56	779.567	-439.353	-516.224	410.822	-442.083	-385.12
44	0	583.952	-585.922	-464.244				783.049	-718.7	-467.559	779.565	-439.349	-516.222	410.821	-442.081	-385.133
