Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	782.707	307.198	-668.919	635.48	121.772	-661.973	991.488	199.794	-711.846	969.958	463.587	-609.385	589.819	386.109	-552.197
2	0	782.698	307.197	-668.918	635.483	121.765	-661.945	991.48	199.804	-711.855	969.941	463.614	-609.423	589.814	386.106	-552.192
3	0	782.685	307.199	-668.92	635.487	121.753	-661.915	991.477	199.823	-711.868	969.928	463.619	-609.455	589.807	386.102	-552.182
4	0	782.671	307.201	-668.921	635.492	121.742	-661.878	991.465	199.833	-711.879	969.902	463.662	-609.498	589.8	386.099	-552.174
5	0	782.658	307.19	-668.924	635.489	121.73	-661.839	991.448	199.832	-711.893	969.887	463.652	-609.538	589.792	386.09	-552.161
6	0	782.643	307.183	-668.925	635.487	121.714	-661.798	991.437	199.839	-711.906	969.862	463.677	-609.593	589.786	386.077	-552.146
7	0	782.628	307.178	-668.928	635.485	121.702	-661.752	991.423	199.845	-711.919	969.844	463.693	-609.641	589.775	386.073	-552.135
8	0	782.613	307.169	-668.93	635.484	121.691	-661.707	991.408	199.857	-711.935	969.829	463.706	-609.694	589.763	386.067	-552.123
9	0	782.591	307.175	-668.939	635.482	121.681	-661.665	991.391	199.874	-711.954	969.787	463.746	-609.759	589.754	386.058	-552.106
10	0	782.574	307.169	-668.943	635.491	121.68	-661.614	991.377	199.881	-711.969	969.752	463.807	-609.823	589.741	386.054	-552.096
11	0	782.563	307.164	-668.947	635.489	121.665	-661.569	991.358	199.897	-711.986	969.722	463.847	-609.879	589.733	386.049	-552.083
12	0	782.54	307.164	-668.951	635.494	121.662	-661.525	991.337	199.918	-712.008	969.695	463.88	-609.938	589.718	386.041	-552.069
13	0	782.525	307.157	-668.956	635.497	121.649	-661.474	991.328	199.948	-712.027	969.663	463.9	-610	589.706	386.03	-552.05
14	0	782.504	307.159	-668.96	635.499	121.642	-661.427	991.305	199.957	-712.042	969.635	463.922	-610.063	589.695	386.029	-552.038
15	0	782.486	307.157	-668.966	635.495	121.611	-661.371	991.289	199.987	-712.064	969.606	463.955	-610.117	589.679	386.029	-552.033
16	0	782.462	307.169	-668.974	635.502	121.597	-661.317	991.278	200.019	-712.083	969.578	463.986	-610.176	589.669	386.028	-552.022
17	0	782.443	307.17	-668.979	635.505	121.581	-661.268	991.273	200.053	-712.102	969.544	464.029	-610.247	589.659	386.026	-552.01
18	0	782.421	307.169	-668.984	635.511	121.576	-661.215	991.254	200.064	-712.121	969.505	464.067	-610.32	589.646	386.024	-551.999
19	0	782.398	307.179	-668.992	635.521	121.572	-661.162	991.243	200.091	-712.14	969.477	464.112	-610.384	589.631	386.032	-551.994
20	0	782.375	307.179	-668.995	635.52	121.556	-661.113	991.229	200.108	-712.156	969.447	464.146	-610.448	589.623	386.029	-551.986
21	0	782.357	307.178	-669	635.523	121.531	-661.061	991.215	200.126	-712.176	969.419	464.186	-610.507	589.613	386.026	-551.971
22	0	782.342	307.179	-669.003	635.529	121.523	-661.018	991.203	200.15	-712.193	969.391	464.201	-610.559	589.598	386.027	-551.966
23	0	782.324	307.176	-669.009	635.533	121.514	-660.976	991.192	200.167	-712.208	969.362	464.219	-610.608	589.59	386.02	-551.954
24	0	782.307	307.185	-669.011	635.532	121.492	-660.935	991.191	200.207	-712.223	969.338	464.256	-610.654	589.583	386.019	-551.942
25	0	782.297	307.173	-669.007	635.534	121.48	-660.9	991.186	200.229	-712.237	969.324	464.276	-610.693	589.577	386.018	-551.932
26	0	782.282	307.177	-669.014	635.538	121.468	-660.865	991.171	200.237	-712.249	969.303	464.307	-610.732	589.566	386.016	-551.924
27	0	782.27	307.178	-669.016	635.545	121.464	-660.837	991.179	200.279	-712.264	969.288	464.355	-610.762	589.559	386.016	-551.919
28	0	782.261	307.176	-669.017	635.538	121.444	-660.811	991.163	200.278	-712.274	969.273	464.389	-610.798	589.556	386.01	-551.908
29	0	782.243	307.191	-669.024	635.544	121.436	-660.788	991.161	200.281	-712.281	969.264	464.386	-610.825	589.55	386.012	-551.907
30	0	782.238	307.19	-669.026	635.546	121.433	-660.772	991.158	200.285	-712.29	969.259	464.393	-610.844	589.544	386.008	-551.897
31	0	782.229	307.186	-669.023	635.546	121.43	-660.758	991.138	200.27	-712.295	969.248	464.409	-610.865	589.541	386.004	-551.891
32	0	782.227	307.183	-669.028	635.547	121.418	-660.748	991.144	200.289	-712.301	969.241	464.415	-610.877	589.535	386.009	-551.889
33	0	782.225	307.176	-669.024	635.55	121.42	-660.738	991.139	200.278	-712.302	969.233	464.425	-610.889	589.533	386.003	-551.886
34	0	782.225	307.184	-669.021	635.552	121.412	-660.735	991.13	200.275	-712.305	969.228	464.434	-610.895	589.533	385.999	-551.879
35	0	782.222	307.181	-669.024	635.553	121.413	-660.737	991.143	200.29	-712.308	969.234	464.419	-610.884	589.531	385.998	-551.879
36	0	782.224	307.18	-669.021	635.55	121.412	-660.741	991.148	200.29	-712.307	969.23	464.428	-610.871	589.532	385.991	-551.87
37	0	782.227	307.18	-669.018	635.553	121.418	-660.751	991.134	200.281	-712.305	969.226	464.423	-610.863	589.534	385.986	-551.868
38	0	782.228	307.183	-669.017	635.552	121.42	-660.765	991.148	200.295	-712.303	969.233	464.415	-610.845	589.533	385.989	-551.87
39	0	782.236	307.184	-669.015	635.556	121.429	-660.783	991.164	200.309	-712.297	969.237	464.41	-610.823	589.536	385.982	-551.87
40	0	782.249	307.176	-669.006	635.552	121.423	-660.801	991.167	200.292	-712.289	969.254	464.383	-610.793	589.544	385.975	-551.868
41	0	782.259	307.176	-669.007	635.552	121.427	-660.827	991.181	200.288	-712.279	969.261	464.371	-610.765	589.553	385.97	-551.871
42	0	782.271	307.174	-669.002	635.552	121.432	-660.849	991.181	200.265	-712.273	969.268	464.357	-610.739	589.557	385.977	-551.878
43	0	782.281	307.178	-669.001	635.55	121.437	-660.877	991.188	200.253	-712.261	969.293	464.3	-610.695	589.564	385.975	-551.883
44	0	782.297	307.171	-668.995	635.554	121.446	-660.913	991.193	200.231	-712.253	969.305	464.284	-610.656	589.575	385.965	-551.885
45	0	782.313	307.169	-668.988	635.549	121.455	-660.95	991.209	200.215	-712.239	969.329	464.243	-610.611	589.578	385.966	-551.892
46	0	782.332	307.153	-668.981	635.548	121.47	-660.988	991.215	200.207	-712.226	969.354	464.211	-610.563	589.587	385.963	-551.895
47	0	782.344	307.157	-668.977	635.547	121.488	-661.032	991.217	200.175	-712.213	969.386	464.185	-610.515	589.593	385.962	-551.907
48	0	782.355	307.173	-668.977	635.539	121.492	-661.075	991.223	200.15	-712.198	969.409	464.17	-610.464	589.605	385.963	-551.908
49	0	782.378	307.15	-668.968	635.546	121.518	-661.125	991.244	200.142	-712.178	969.43	464.138	-610.404	589.617	385.959	-551.911
50	0	782.394	307.15	-668.964	635.541	121.536	-661.172	991.25	200.112	-712.163	969.47	464.083	-610.33	589.626	385.958	-551.922
51	0	782.418	307.138	-668.955	635.539	121.549	-661.22	991.266	200.101	-712.143	969.499	464.036	-610.276	589.633	385.964	-551.934
52	0	782.438	307.147	-668.953	635.531	121.54	-661.266	991.259	200.107	-712.095	969.527	464.028	-610.215	589.647	385.961	-551.942
53	0	782.458	307.145	-668.948	635.527	121.555	-661.313	991.436	199.286	-712.05	969.559	463.987	-610.152	589.659	385.963	-551.954
54	0	782.478	307.15	-668.946	635.524	121.566	-661.361	991.445	199.276	-712.035	969.587	463.962	-610.097	589.673	385.968	-551.965
55	0	782.493	307.148	-668.94	635.522	121.587	-661.407	991.45	199.242	-712.014	969.612	463.93	-610.048	589.684	385.967	-551.979
56	0	782.516	307.137	-668.934	635.521	121.6	-661.453	991.469	199.214	-711.997	969.652	463.888	-609.992	589.698	385.968	-551.988
57	0	782.532	307.138	-668.933	635.518	121.625	-661.497	991.479	199.191	-711.979	969.657	463.891	-609.954	589.71	385.977	-552.001
58	0	782.546	307.141	-668.932	635.513	121.631	-661.533	991.5	199.152	-711.959	969.687	463.866	-609.897	589.721	385.975	-552.01
59	0	782.573	307.099	-668.857	635.508	121.644	-661.575	991.511	199.137	-711.944	969.713	463.835	-609.852	589.734	385.98	-552.024
60	0	782.592	307.095	-668.853	635.506	121.656	-661.613	991.525	199.119	-711.926	969.745	463.793	-609.8	589.744	385.986	-552.034
61	0	782.605	307.093	-668.85	635.497	121.652	-661.647	991.529	199.109	-711.912	969.788	463.693	-609.74	589.754	385.994	-552.045
62	0	782.617	307.103	-668.853	635.515	121.614	-661.67	991.54	199.084	-711.898	969.802	463.69	-609.698	589.77	385.994	-552.054
63	0	782.629	307.107	-668.848	635.52	121.524	-661.697	991.546	199.071	-711.884	969.828	463.679	-609.656	589.779	386.001	-552.067
64	0	782.645	307.107	-668.847	635.517	121.53	-661.729	991.556	199.062	-711.869	969.855	463.64	-609.614	589.788	386.01	-552.078
65	0	782.657	307.106	-668.847	635.518	121.537	-661.758	991.566	199.054	-711.854	969.868	463.638	-609.582	589.8	386.015	-552.09
66	0	782.675	307.1	-668.844	635.552	121.388	-661.737	991.573	199.035	-711.847	969.893	463.6	-609.554	589.809	386.025	-552.103
67	0	782.684	307.107	-668.846	635.547	121.415	-661.768	991.578	199.028	-711.837	969.908	463.586	-609.526	589.82	386.025	-552.116
68	0	782.695	307.1	-668.845	635.51	121.561	-661.83	991.583	199.008	-711.827	969.926	463.571	-609.51	589.826	386.032	-552.125
69	0	782.702	307.095	-668.847	635.504	121.618	-661.852	991.587	199.004	-711.819	969.939	463.546	-609.492	589.83	386.041	-552.137
70	0	782.705	307.097	-668.845	635.494	121.627	-661.866	991.593	198.967	-711.811	969.944	463.545	-609.481	589.835	386.041	-552.14
71	0	782.713	307.087	-668.846	635.49	121.63	-661.872	991.596	198.96	-711.807	969.958	463.553	-609.474	589.837	386.065	-552.157
72	0	782.716	307.1	-668.848	635.489	121.64	-661.879	991.596	198.977	-711.799	969.968	463.525	-609.47	589.837	386.074	-552.165
73	0	782.718	307.106	-668.852	635.485	121.647	-661.882	991.598	198.943	-711.796	969.973	463.534	-609.474	589.846	386.067	-552.163
74	0	782.718	307.105	-668.855	635.485	121.658	-661.879	991.599	198.947	-711.795	969.975	463.538	-609.48	589.844	386.087	-552.172
75	0	782.725	307.085	-668.85	635.48	121.665	-661.876	991.598	198.948	-711.793	969.978	463.518	-609.485	589.841	386.093	-552.181
76	0	782.713	307.115	-668.861	635.478	121.672	-661.87	991.595	198.953	-711.794	969.976	463.527	-609.493	589.85	386.079	-552.172
77	0	782.716	307.098	-668.862	635.48	121.676	-661.856	991.593	198.943	-711.792	969.978	463.523	-609.504	589.839	386.105	-552.19
78	0	782.716	307.095	-668.862	635.483	121.676	-661.839	991.59	198.978	-711.796	969.972	463.536	-609.533	589.837	386.105	-552.193
79	0	782.701	307.115	-668.871	635.485	121.684	-661.821	991.587	198.957	-711.802	969.96	463.563	-609.56	589.834	386.111	-552.195
80	0	782.698	307.108	-668.871	635.486	121.682	-661.794	991.583	198.955	-711.802	969.948	463.579	-609.594	589.83	386.113	-552.196
81	0	782.684	307.114	-668.878	635.487	121.678	-661.764	991.572	198.99	-711.811	969.94	463.61	-609.629	589.825	386.115	-552.191
82	0	782.677	307.112	-668.88	635.487	121.682	-661.738	991.562	199.003	-711.822	969.924	463.63	-609.667	589.819	386.119	-552.193
83	0	782.668	307.104	-668.884	635.484	121.67	-661.706	991.555	199.006	-711.832	969.908	463.632	-609.701	589.817	386.103	-552.181
84	0	782.644	307.12	-668.891	635.484	121.67	-661.676	991.544	199.016	-711.843	969.888	463.648	-609.748	589.802	386.12	-552.187
85	0	782.641	307.106	-668.889	635.482	121.666	-661.642	991.53	199.025	-711.854	969.863	463.692	-609.793	589.792	386.123	-552.181
86	0	782.625	307.11	-668.891	635.523	121.628	-661.58	991.522	199.04	-711.867	969.822	463.769	-609.847	589.781	386.124	-552.176
87	0	782.608	307.121	-668.898	635.49	121.683	-661.576	991.511	199.059	-711.88	969.798	463.79	-609.893	589.771	386.12	-552.163
88	0	782.585	307.128	-668.903	635.488	121.692	-661.539	991.5	199.07	-711.894	969.767	463.823	-609.94	589.756	386.121	-552.158
89	0	782.576	307.125	-668.905	635.502	121.655	-661.484	991.491	199.092	-711.91	969.741	463.84	-609.986	589.751	386.103	-552.139
90	0	782.56	307.132	-668.91	635.503	121.65	-661.459	991.483	199.104	-711.925	969.719	463.864	-610.024	589.741	386.104	-552.128
91	0	782.778	306.959	-668.821	635.501	121.663	-661.426	991.406	199.189	-711.851	969.697	463.876	-610.064	589.726	386.104	-552.121
92	0	782.531	307.131	-668.918	635.497	121.634	-661.384	991.349	199.489	-711.961	969.661	463.921	-610.126	589.716	386.099	-552.107
93	0	782.506	307.146	-668.957	635.501	121.623	-661.345	991.331	199.584	-712.003	969.641	463.931	-610.173	589.704	386.091	-552.093
94	0	782.484	307.151	-668.962	635.504	121.613	-661.301	991.313	199.627	-712.029	969.612	463.967	-610.222	589.688	386.085	-552.078
95	0	782.469	307.14	-668.962	635.506	121.6	-661.259	991.305	199.669	-712.05	969.573	463.996	-610.28	589.671	386.084	-552.064
