Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	781.415	255.616	-876.293	630.819	75.8092	-857.085	980.904	139.726	-937.152	982.281	402.953	-832.438	605.516	340.743	-743.249
2	0	781.394	255.621	-876.296	630.823	75.8085	-857.084	980.924	139.733	-937.154	982.268	402.975	-832.434	605.519	340.735	-743.245
3	0	781.414	255.61	-876.288	630.818	75.8042	-857.084	980.916	139.733	-937.157	982.277	402.952	-832.432	605.515	340.732	-743.242
4	0	781.417	255.614	-876.283	630.823	75.8035	-857.087	980.909	139.733	-937.159	982.273	402.95	-832.433	605.515	340.731	-743.241
5	0	781.421	255.607	-876.29	630.829	75.8126	-857.083	980.89	139.727	-937.154	982.283	402.915	-832.424	605.518	340.717	-743.236
6	0	781.413	255.617	-876.292	630.837	75.821	-857.086	980.864	139.729	-937.156	982.305	402.863	-832.415	605.522	340.71	-743.23
7	0	781.438	255.608	-876.29	630.845	75.8258	-857.085	980.837	139.724	-937.152	982.309	402.84	-832.413	605.519	340.709	-743.232
8	0	781.432	255.609	-876.293	630.847	75.8364	-857.086	980.816	139.721	-937.155	982.326	402.793	-832.403	605.525	340.699	-743.229
9	0	781.431	255.613	-876.293	630.853	75.8409	-857.087	980.802	139.715	-937.149	982.338	402.78	-832.398	605.525	340.696	-743.231
10	0	781.442	255.609	-876.296	630.855	75.8479	-857.09	980.789	139.709	-937.145	982.365	402.746	-832.392	605.534	340.688	-743.229
11	0	781.44	255.612	-876.299	630.852	75.8584	-857.092	980.779	139.705	-937.143	982.353	402.719	-832.388	605.53	340.691	-743.233
12	0	781.459	255.604	-876.302	630.859	75.8657	-857.099	980.759	139.697	-937.141	982.356	402.734	-832.379	605.534	340.696	-743.238
13	0	781.446	255.614	-876.304	630.857	75.8738	-857.1	980.749	139.686	-937.135	982.39	402.661	-832.368	605.54	340.691	-743.239
14	0	781.464	255.611	-876.302	630.857	75.8804	-857.104	980.741	139.687	-937.133	982.402	402.637	-832.362	605.547	340.686	-743.242
15	0	781.439	255.614	-876.31	630.848	75.87	-857.112	980.736	139.671	-937.125	982.407	402.631	-832.357	605.549	340.696	-743.251
16	0	781.46	255.614	-876.312	630.853	75.8865	-857.12	980.749	139.668	-937.125	982.429	402.608	-832.348	605.548	340.707	-743.26
17	0	781.453	255.622	-876.309	630.85	75.8916	-857.128	980.735	139.649	-937.118	982.433	402.603	-832.343	605.552	340.71	-743.267
18	0	781.465	255.612	-876.312	630.845	75.8977	-857.136	980.731	139.645	-937.117	982.432	402.607	-832.34	605.552	340.726	-743.278
19	0	781.456	255.621	-876.314	630.853	75.9132	-857.144	980.733	139.642	-937.108	982.451	402.587	-832.329	605.556	340.728	-743.287
20	0	781.476	255.618	-876.317	630.852	75.9221	-857.152	980.733	139.632	-937.103	982.461	402.572	-832.322	605.558	340.739	-743.294
21	0	781.487	255.61	-876.318	630.845	75.9266	-857.162	980.744	139.621	-937.099	982.451	402.599	-832.322	605.563	340.745	-743.302
22	0	781.475	255.622	-876.32	630.844	75.9352	-857.168	980.724	139.61	-937.095	982.458	402.577	-832.317	605.564	340.752	-743.313
23	0	781.477	255.621	-876.326	630.842	75.9457	-857.178	980.749	139.605	-937.086	982.475	402.564	-832.307	605.569	340.76	-743.319
24	0	781.483	255.618	-876.329	630.833	75.9515	-857.185	980.751	139.592	-937.08	982.49	402.543	-832.304	605.573	340.765	-743.329
25	0	781.479	255.623	-876.327	630.827	75.9598	-857.193	980.767	139.589	-937.075	982.484	402.552	-832.303	605.573	340.777	-743.338
26	0	781.517	255.608	-876.326	630.831	75.9654	-857.198	980.756	139.578	-937.069	982.509	402.521	-832.289	605.577	340.779	-743.348
27	0	781.496	255.622	-876.339	630.822	75.9655	-857.208	980.779	139.572	-937.066	982.516	402.511	-832.286	605.581	340.789	-743.355
28	0	781.51	255.619	-876.331	630.823	75.9797	-857.217	980.769	139.563	-937.058	982.513	402.515	-832.283	605.582	340.799	-743.367
29	0	781.498	255.626	-876.335	630.82	75.9842	-857.226	980.771	139.558	-937.055	982.518	402.518	-832.279	605.583	340.809	-743.374
30	0	781.499	255.615	-876.338	630.819	75.9868	-857.233	980.772	139.551	-937.051	982.536	402.494	-832.274	605.586	340.815	-743.384
31	0	781.516	255.617	-876.347	630.815	75.9918	-857.237	980.768	139.545	-937.043	982.532	402.5	-832.272	605.583	340.828	-743.393
32	0	781.504	255.617	-876.345	630.805	75.9945	-857.246	980.814	139.548	-937.042	982.547	402.48	-832.264	605.587	340.833	-743.401
33	0	781.516	255.618	-876.353	630.805	76.0017	-857.251	980.828	139.542	-937.035	982.542	402.493	-832.265	605.594	340.829	-743.402
34	0	781.519	255.612	-876.349	630.801	76.0007	-857.253	980.811	139.531	-937.033	982.559	402.476	-832.258	605.594	340.833	-743.412
35	0	781.535	255.606	-876.347	630.804	76.0084	-857.26	980.84	139.534	-937.032	982.575	402.447	-832.259	605.596	340.841	-743.417
36	0	781.521	255.609	-876.348	630.8	76.0115	-857.263	980.82	139.533	-937.023	982.57	402.458	-832.26	605.599	340.841	-743.421
37	0	781.548	255.598	-876.352	630.806	76.0125	-857.263	980.838	139.529	-937.027	982.567	402.463	-832.256	605.6	340.847	-743.424
38	0	781.529	255.612	-876.352	630.794	76.0098	-857.266	980.807	139.517	-937.023	982.577	402.449	-832.256	605.602	340.844	-743.425
39	0	781.513	255.622	-876.361	630.797	76.0108	-857.268	980.812	139.522	-937.023	982.575	402.458	-832.257	605.602	340.852	-743.429
40	0	781.534	255.607	-876.352	630.802	76.0113	-857.266	980.841	139.52	-937.023	982.6	402.422	-832.249	605.596	340.854	-743.429
41	0	781.533	255.612	-876.354	630.799	76.0136	-857.267	980.813	139.518	-937.023	982.579	402.458	-832.257	605.596	340.852	-743.431
42	0	781.52	255.617	-876.351	630.799	76.0117	-857.266	980.817	139.52	-937.025	982.569	402.471	-832.259	605.6	340.849	-743.429
43	0	781.512	255.619	-876.354	630.796	76.0062	-857.266	980.825	139.527	-937.027	982.597	402.421	-832.256	605.603	340.847	-743.427
44	0	783.952	255.004	-876.236	630.801	76.0041	-857.264	980.086	139.427	-937.01	982.574	402.457	-832.256	605.598	340.842	-743.423
45	0	783.936	255.012	-876.235	630.804	76.0054	-857.261	980.086	139.427	-937.015	982.573	402.46	-832.26	605.598	340.842	-743.42
46	0	781.532	255.606	-876.348	630.806	76.0033	-857.257	980.109	139.439	-937.008	982.565	402.47	-832.266	605.597	340.837	-743.417
47	0	781.523	255.612	-876.351	630.798	75.9956	-857.252	980.132	139.451	-937.021	982.563	402.469	-832.263	605.596	340.834	-743.415
48	0	781.514	255.612	-876.348	630.809	75.9921	-857.252	980.091	139.437	-937.023	982.541	402.504	-832.271	605.596	340.826	-743.408
49	0	781.524	255.602	-876.348	630.81	75.9886	-857.243	980.096	139.445	-937.024	982.548	402.481	-832.272	605.589	340.834	-743.404
50	0	781.505	255.62	-876.344	630.814	75.9864	-857.237	980.078	139.445	-937.029	982.539	402.501	-832.282	605.589	340.821	-743.396
51	0	781.529	255.6	-876.338	630.815	75.9845	-857.232	980.092	139.45	-937.031	982.534	402.502	-832.281	605.584	340.822	-743.392
52	0	781.502	255.625	-876.336	630.814	75.9771	-857.224	980.078	139.458	-937.038	982.524	402.512	-832.286	605.583	340.813	-743.382
53	0	781.507	255.614	-876.336	630.822	75.9731	-857.217	980.082	139.461	-937.043	982.519	402.512	-832.292	605.584	340.798	-743.373
54	0	781.5	255.619	-876.336	630.825	75.9622	-857.211	980.082	139.473	-937.049	982.508	402.526	-832.295	605.579	340.794	-743.366
55	0	781.5	255.615	-876.338	630.83	75.9607	-857.203	980.085	139.476	-937.057	982.505	402.538	-832.298	605.578	340.783	-743.355
56	0	781.497	255.621	-876.335	630.833	75.9585	-857.197	980.087	139.488	-937.057	982.501	402.534	-832.302	605.577	340.777	-743.347
57	0	781.509	255.608	-876.33	630.84	75.9521	-857.19	980.072	139.496	-937.063	982.492	402.553	-832.311	605.574	340.774	-743.34
58	0	781.501	255.615	-876.331	630.849	75.9525	-857.181	980.063	139.506	-937.068	982.481	402.562	-832.315	605.568	340.766	-743.334
59	0	781.495	255.609	-876.325	630.847	75.9422	-857.175	980.069	139.51	-937.073	982.477	402.568	-832.317	605.57	340.758	-743.326
60	0	781.48	255.619	-876.324	630.835	75.914	-857.168	980.077	139.519	-937.077	982.456	402.594	-832.327	605.565	340.753	-743.319
61	0	781.484	255.619	-876.322	630.838	75.9096	-857.161	980.072	139.521	-937.086	982.458	402.588	-832.329	605.563	340.75	-743.312
62	0	781.478	255.61	-876.325	630.84	75.9066	-857.153	980.068	139.527	-937.087	982.458	402.584	-832.334	605.559	340.746	-743.306
63	0	781.472	255.62	-876.318	630.844	75.9017	-857.147	980.07	139.538	-937.096	982.457	402.603	-832.343	605.558	340.735	-743.298
64	0	781.479	255.609	-876.32	630.858	75.8976	-857.141	980.076	139.544	-937.094	982.44	402.607	-832.343	605.553	340.731	-743.291
65	0	781.475	255.611	-876.321	630.87	75.9066	-857.133	980.07	139.558	-937.102	982.434	402.611	-832.351	605.553	340.728	-743.285
66	0	781.458	255.623	-876.316	630.855	75.8858	-857.128	980.063	139.562	-937.106	982.444	402.612	-832.355	605.55	340.725	-743.282
67	0	781.476	255.611	-876.312	630.864	75.8908	-857.122	980.269	139.595	-937.113	982.426	402.622	-832.357	605.553	340.71	-743.275
68	0	781.473	255.605	-876.311	630.86	75.8865	-857.119	980.388	139.622	-937.116	982.419	402.647	-832.365	605.547	340.713	-743.27
69	0	781.472	255.611	-876.313	630.858	75.8844	-857.113	980.422	139.616	-937.116	982.427	402.612	-832.366	605.546	340.713	-743.267
70	0	781.477	255.601	-876.309	630.855	75.8949	-857.105	980.412	139.588	-937.11	982.408	402.643	-832.372	605.55	340.724	-743.267
71	0	781.459	255.616	-876.311	630.844	75.9101	-857.101	980.421	139.578	-937.098	982.444	402.59	-832.369	605.555	340.748	-743.278
72	0	781.468	255.613	-876.317	630.817	75.9365	-857.112	980.444	139.542	-937.089	982.465	402.601	-832.376	605.571	340.789	-743.304
73	0	781.483	255.619	-876.331	630.78	75.9773	-857.124	980.445	139.498	-937.07	982.478	402.588	-832.379	605.592	340.843	-743.338
74	0	781.474	255.627	-876.356	630.723	76.0406	-857.143	980.451	139.45	-937.061	982.537	402.541	-832.392	605.61	340.926	-743.376
75	0	781.475	255.633	-876.37	630.633	76.1142	-857.158	980.418	139.386	-937.057	982.59	402.439	-832.396	605.631	341.017	-743.412
76	0	781.461	255.648	-876.381	630.52	76.2156	-857.166	980.323	139.296	-937.045	982.643	402.368	-832.41	605.653	341.119	-743.428
77	0	781.439	255.668	-876.39	630.383	76.343	-857.169	980.268	139.163	-937.033	982.686	402.31	-832.426	605.686	341.274	-743.455
78	0	781.431	255.682	-876.401	630.218	76.4803	-857.17	980.214	139.011	-937.004	982.917	401.991	-832.429	605.744	341.464	-743.492
79	0	781.432	255.688	-876.424	630.02	76.6351	-857.185	980.138	138.815	-936.964	982.979	401.931	-832.444	605.794	341.702	-743.575
80	0	781.467	255.687	-876.45	629.826	76.8247	-857.219	980.126	138.578	-936.906	983.109	401.798	-832.447	605.872	341.941	-743.673
