Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	1725.16	-550.574	-150.349	1552.02	-708.084	-111.003	1912.15	-661.927	-51.3766	1906.98	-383.906	-107.126	1522.94	-426.063	-173.003
2	0	1729.2	-550.413	-149.879	1555.2	-707.625	-114.288				1910.95	-384.498	-103.49	1527.89	-425.618	-176.027
3	0	1734.04	-550.817	-150.085	1558.89	-707.466	-117.604	1916.85	-663.629	-45.3443	1915.2	-385.337	-99.6044	1533.41	-425.085	-178.988
4	0	1738.75	-551.283	-149.498	1562.3	-707.222	-120.073	1919.25	-664.898	-41.5571	1919.54	-386.561	-95.5621	1539.18	-424.816	-181.91
5	0	1743.57	-552.096	-148.609	1566.1	-707.466	-122.821	1922.18	-666.838	-37.469	1924.02	-388.108	-91.3861	1545.15	-424.786	-184.736
6	0	1748.36	-553.219	-147.477	1569.45	-707.572	-124.317	1924.39	-668.637	-32.9083	1928.55	-389.984	-87.2349	1551.31	-425.044	-187.417
7	0	1753.18	-554.72	-146.087	1573.15	-708.109	-125.779	1926.45	-670.625	-28.1106	1933.08	-392.272	-83.216	1557.52	-425.61	-189.965
8	0	1757.8	-556.519	-144.546	1576.7	-708.811	-126.559	1928.32	-672.818	-23.1165	1937.62	-394.796	-79.4205	1563.73	-426.533	-192.338
9	0	1762.28	-558.632	-142.884	1579.95	-709.672	-126.833	1929.61	-674.908	-18.0444	1942.13	-397.642	-75.9181	1569.82	-427.722	-194.536
10	0	1766.47	-560.894	-140.967	1582.87	-710.674	-126.649	1931.71	-677.599	-13.0211	1946.43	-400.633	-72.6965	1575.74	-429.147	-196.566
11	0	1770.44	-563.341	-139.194	1585.79	-711.768	-126.126	1932.71	-679.859	-8.12222	1950.54	-403.739	-69.8737	1581.45	-430.776	-198.369
12	0	1774.06	-565.835	-137.391	1588.21	-712.858	-125.16	1933.76	-682.262	-3.47201	1954.44	-406.934	-67.3027	1586.64	-432.46	-199.865
13	0	1777.28	-568.338	-135.569	1590.31	-713.941	-123.981	1935.31	-684.87	0.975941	1958.14	-410.034	-65.1792	1591.44	-434.212	-201.17
14	0	1780.13	-570.737	-133.893	1591.97	-714.917	-122.504	1935.93	-686.997	5.05715	1961.4	-413.045	-63.3128	1595.82	-435.895	-202.233
15	0	1782.54	-573.012	-132.259	1593.39	-715.8	-120.892	1936.5	-689.043	8.69449	1964.48	-416.013	-61.9208	1599.58	-437.512	-202.973
16	0	1784.49	-575.066	-130.752	1594.35	-716.5	-119.243	1937.27	-691.128	11.8926	1967.09	-418.743	-60.7327	1602.83	-438.929	-203.448
17	0	1785.99	-576.879	-129.425	1594.91	-717.055	-117.489	1937.39	-692.8	14.5011	1969.34	-421.163	-59.9125	1605.41	-440.14	-203.703
18	0	1787.25	-578.319	-128.589	1595.17	-717.391	-115.817	1937.63	-694.377	16.6266	1971.21	-423.398	-59.4192	1607.39	-441.091	-203.694
19	0	1787.92	-579.511	-127.682	1595.04	-717.511	-114.292	1937.26	-695.405	18.2963	1972.79	-425.402	-59.5337	1608.75	-441.709	-203.507
20	0	1788.1	-580.37	-126.971	1594.46	-717.315	-112.742	1937.37	-696.59	19.2361	1973.73	-426.794	-59.4787	1609.49	-441.983	-203.106
21	0	1787.9	-580.812	-126.636	1593.88	-717.105	-111.828	1936.75	-697.263	19.3891	1974.06	-427.693	-59.5762	1609.62	-441.903	-202.605
22	0	1787.25	-580.88	-126.594	1592.88	-716.573	-111.111	1936.3	-697.688	18.9943	1974.23	-428.388	-60.4015	1609.16	-441.44	-202.016
23	0	1786.22	-580.547	-126.903	1591.7	-715.897	-110.757	1936.01	-697.969	17.8935	1974	-428.619	-61.648	1608.15	-440.67	-201.396
24	0	1784.95	-579.896	-127.644	1590.2	-714.963	-110.662	1935.18	-697.811	15.9731	1973.04	-428.347	-62.7621	1606.56	-439.547	-200.765
25	0	1783.09	-578.854	-128.462	1588.62	-713.897	-111.102	1934.43	-697.39	13.3795	1971.74	-427.353	-64.2109	1604.49	-438.136	-200.174
26	0	1781.14	-577.409	-129.912	1587.03	-712.799	-111.959	1933.8	-696.593	10.3692	1970.09	-426.106	-66.1758	1601.9	-436.49	-199.552
27	0	1778.86	-575.659	-131.678	1585.08	-711.495	-113.001	1932.91	-695.482	6.58416	1968.13	-424.45	-68.4926	1598.82	-434.655	-198.928
28	0	1776.28	-573.613	-133.737	1583.24	-710.207	-114.485	1931.92	-694.061	2.20959	1965.6	-422.278	-71.0225	1595.2	-432.647	-198.263
29	0	1773.43	-571.307	-135.975	1581.07	-708.911	-115.955	1930.93	-692.32	-2.6347	1962.72	-419.722	-73.828	1591.09	-430.583	-197.478
30	0	1770.22	-568.833	-138.332	1578.8	-707.65	-117.566	1929.92	-690.299	-7.86296	1959.35	-416.764	-76.7132	1586.51	-428.505	-196.554
31	0	1766.75	-566.196	-140.685	1576.46	-706.429	-118.992	1928.73	-687.921	-13.2787	1955.6	-413.544	-79.761	1581.46	-426.538	-195.375
32	0	1763.01	-563.536	-142.991	1574.16	-705.46	-120.563	1927.5	-685.319	-18.7738	1951.41	-410.027	-82.8177	1576.02	-424.725	-194.031
33	0	1758.98	-560.939	-145.078	1571.53	-704.746	-121.514	1925.67	-682.261	-24.17	1946.9	-406.414	-85.9268	1570.18	-423.247	-192.362
34	0	1754.82	-558.525	-147.062	1568.88	-704.154	-122.137	1924.74	-679.631	-29.3957	1942.06	-402.74	-88.9849	1564.08	-422.158	-190.436
35	0	1750.4	-556.297	-148.578	1566.43	-703.962	-122.137	1922.76	-676.321	-34.1328	1936.94	-399.094	-91.9309	1557.76	-421.55	-188.292
36	0	1745.98	-554.415	-149.72	1563.88	-704.143	-121.623	1921.03	-673.299	-38.4013	1931.58	-395.565	-94.7449	1551.41	-421.428	-185.967
37	0	1741.53	-552.887	-150.52	1561.52	-704.595	-120.589	1919.43	-670.367	-42.0694	1926.2	-392.299	-97.3983	1545.1	-421.794	-183.53
38	0	1737.13	-551.706	-150.852	1559.23	-705.383	-119	1918.27	-667.883	-45.1518	1920.85	-389.295	-99.8923	1538.93	-422.648	-181.008
39	0	1732.99	-550.868	-150.936	1557.03	-706.418	-116.849	1916.66	-665.227	-47.5488	1915.57	-386.566	-102.088	1533.07	-423.914	-178.488
40	0	1728.91	-550.236	-150.403	1555.06	-707.489	-114.375	1914.5	-662.525	-49.4516	1910.57	-384.158	-104.143	1527.53	-425.43	-175.998
41	0	1725.35	-550.009	-150.146	1553.29	-709.002	-111.844	1913.05	-660.178	-50.7076	1905.72	-381.995	-105.9	1522.38	-427.124	-173.592
42	0	1722	-549.943	-149.601	1551.72	-710.246	-109.142	1911.63	-658.059	-51.628	1901.17	-380.14	-107.394	1517.65	-428.962	-171.252
