Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	1376.01	161.039	-522.367	1192.4	11.4087	-509.906	1558.99	11.5509	-483.858	1577.65	293.419	-455.024	1187.07	299.843	-481.425
2	0	1373.87	161.391	-522.346	1189.08	14.191	-509.861	1555.97	10.748	-485.236	1577.64	292.041	-455.92	1187.29	302.968	-481.038
3	0	1372.6	162.577	-522.936	1185.83	17.7704	-510.092	1552.69	9.57588	-486.737	1577.84	290.49	-457.045	1187.59	306.284	-480.764
4	0	1371.61	164.486	-523.538	1182.5	21.3346	-510.116	1549.08	8.20314	-488.608	1578.22	288.678	-458.264	1188.13	309.748	-480.276
5	0	1370.03	165.644	-524.213	1178.95	25.2248	-510.116	1545.52	6.56719	-490.043	1578.74	286.572	-459.502	1188.98	313.276	-479.411
6	0	1368.48	166.697	-524.657	1175.31	29.1371	-509.813	1541.58	4.75798	-491.718	1579.36	284.243	-460.729	1189.79	316.895	-478.7
7	0	1366.83	167.494	-524.773	1171.45	32.7403	-509.073	1537.59	2.87927	-493.386	1579.83	281.54	-461.815	1190.97	320.569	-477.408
8	0	1365.26	168.518	-525.078	1167.85	37.0612	-508.513	1533.43	1.04688	-495.08	1580.56	278.906	-462.979	1191.98	324.031	-475.98
9	0	1363.71	169.343	-524.638	1164.39	41.2367	-507.644	1529.52	-0.800787	-496.238	1581.27	276.111	-463.9	1193.23	327.718	-474.043
10	0	1362.22	170.476	-524.823	1160.9	45.3561	-506.528	1525.28	-2.7006	-497.728	1581.79	273.271	-464.698	1194.39	331.074	-472.253
11	0	1360.82	171.263	-523.96	1157.55	49.2339	-505.108	1521.19	-4.31959	-499.079	1582.35	270.586	-465.355	1196.06	334.653	-470.308
12	0	1359.46	172.385	-523.795	1154.6	53.4604	-503.898	1517.48	-5.86376	-499.838	1582.8	267.958	-465.857	1197.52	337.932	-468.274
13	0	1358.23	173.447	-523.382	1151.66	57.0707	-502.316	1513.71	-7.28634	-500.889	1583.07	265.475	-466.166	1198.93	340.842	-465.831
14	0	1356.81	174.126	-522.197	1149.04	60.4995	-500.7	1510.23	-8.32543	-501.922	1583.37	263.299	-466.446	1200.22	343.621	-463.471
15	0	1355.67	175.117	-521.453	1146.68	63.8882	-499.314	1507.11	-9.25209	-502.783	1583.6	261.381	-466.705	1201.46	346.183	-461.161
16	0	1354.5	175.96	-520.479	1144.66	66.9383	-497.833	1504.44	-9.44296	-503.623	1583.67	259.771	-466.805	1202.53	348.389	-458.978
17	0	1353.51	176.958	-519.72	1142.88	69.6403	-496.52	1502.06	-9.7082	-504.287	1583.57	258.639	-466.71	1203.25	350.316	-456.719
18	0	1352.59	177.978	-519.219	1141.09	71.4909	-495.238	1499.79	-9.90529	-505.348	1583.33	257.627	-466.695	1203.96	352.052	-454.476
19	0	1351.36	178.471	-518.591	1140.49	74.4164	-494.005	1498.06	-9.78228	-506.088	1583.14	257.15	-466.814	1204.23	353.417	-452.367
20	0	1350.66	179.378	-517.95	1139.43	76.0856	-493.234	1496.59	-9.44562	-507.233	1582.96	257.121	-467.043	1204.39	354.64	-450.588
21	0	1349.93	180.425	-517.87	1138.66	77.2684	-492.525	1495.57	-8.85097	-508.307	1582.61	257.397	-467.254	1204.2	355.379	-448.745
22	0	1349.29	181.305	-517.634	1138.15	78.0968	-491.986	1494.94	-8.04048	-509.45	1582.08	257.928	-467.474	1203.88	356.042	-447.354
23	0	1348.65	182.116	-517.547	1137.92	78.5118	-491.698	1494.76	-6.95809	-510.487	1581.57	259.047	-467.855	1203.11	356.243	-446.013
24	0	1348.11	182.751	-517.459	1137.8	78.3601	-491.178	1494.92	-5.70322	-511.796	1580.87	260.427	-468.27	1202.21	356.203	-444.939
25	0	1347.55	183.448	-517.633	1137.9	77.7868	-491.253	1495.03	-4.58244	-513.497	1579.88	261.935	-468.588	1200.99	355.783	-443.958
26	0	1347.11	184.068	-517.976	1138.23	76.9376	-491.926	1495.86	-2.94098	-514.892	1579.17	264.175	-469.249	1199.51	355.108	-443.287
27	0	1346.66	184.629	-518.378	1138.42	75.1104	-492.301	1497.09	-1.06725	-516.27	1578.17	266.608	-469.821	1197.74	354.132	-442.872
28	0	1346.31	185.137	-518.955	1139.14	73.2807	-492.809	1498.78	0.947101	-517.371	1576.79	269.055	-470.279	1195.76	352.775	-442.553
29	0	1345.88	185.439	-519.539	1140.23	71.1153	-493.224	1500.21	2.87307	-518.962	1575.55	272.062	-470.945	1193.51	351.055	-442.349
30	0	1345.59	185.54	-519.839	1141.34	68.4953	-494.019	1502.47	5.27457	-520.19	1574.18	275.214	-471.574	1191.06	348.97	-442.254
31	0	1345.17	185.577	-520.496	1142.87	65.5904	-494.699	1504.92	7.66741	-521.117	1572.42	278.33	-471.988	1188.42	346.609	-442.258
32	0	1345.01	185.693	-521.135	1144.68	62.6288	-495.365	1507.28	10.034	-522.294	1570.75	281.764	-472.48	1186	344.005	-442.431
33	0	1344.81	185.358	-521.335	1146.78	59.2435	-495.873	1509.99	12.5764	-523.125	1569.04	285.349	-472.917	1183.09	340.925	-442.388
34	0	1344.56	185.009	-521.775	1148.87	55.6191	-496.524	1512.73	15.103	-523.798	1567.19	288.827	-473.232	1180.4	337.647	-442.331
35	0	1344.42	184.542	-521.973	1150.99	51.4697	-496.407	1515.77	17.7156	-524.142	1565.24	292.165	-473.345	1177.58	334.203	-442.406
36	0	1344.4	184.052	-522.13	1153.33	47.4198	-496.804	1518.39	20.0108	-524.609	1563.1	295.264	-473.181	1174.88	330.528	-442.29
37	0	1344.46	183.217	-521.873	1155.86	43.4236	-496.792	1521.48	22.4075	-524.322	1561.16	298.287	-472.963	1172.31	326.717	-442.088
38	0	1344.66	182.371	-521.483	1158.58	39.5756	-496.76	1524.12	24.4661	-524.216	1559.41	301.195	-472.737	1170.11	322.903	-441.77
39	0	1344.73	181.474	-521.313	1161.08	35.3642	-496.187	1526.91	26.439	-523.813	1557.75	303.809	-472.279	1167.92	319.075	-441.465
40	0	1345.14	180.482	-520.783	1164.61	31.9357	-496.369	1529.53	28.1912	-523.296	1556.03	305.843	-471.626	1166.2	315.308	-440.884
41	0	1345.38	179.216	-520.135	1166.47	27.6684	-495.084	1531.99	29.7415	-522.848	1554.6	307.65	-470.945	1164.63	311.671	-440.357
42	0	1345.9	178.076	-519.548	1168.91	24.6826	-495.189	1534.36	30.9419	-522.232	1553.33	309.005	-470.149	1163.74	308.202	-439.598
43	0	1346.5	177.055	-519.119	1170.98	21.4765	-494.293	1536.57	31.8749	-521.656	1552.6	310.261	-469.605	1162.68	304.979	-439.201
44	0	1347.2	175.74	-518.467	1172.95	18.4244	-493.966	1539.04	32.6621	-520.626	1551.87	310.844	-468.772	1162.08	302.015	-438.657
45	0	1348.11	174.647	-517.908	1175.18	16.281	-494.148	1540.43	32.702	-520.475	1551.72	311.375	-468.267	1161.91	299.478	-438.323
46	0	1348.93	173.61	-517.788	1176.88	13.9385	-493.788	1542.48	32.976	-520.121	1551.81	311.447	-467.732	1162.21	297.158	-437.823
47	0	1350.01	172.418	-517.31	1178.49	11.8964	-493.231	1544.1	32.689	-519.911	1552.25	311.146	-467.244	1162.55	295.235	-437.653
48	0	1351.14	171.567	-517.396	1180.13	10.5664	-493.42	1545.56	32.1205	-519.869	1552.97	310.423	-466.891	1163.34	293.663	-437.485
49	0	1352.37	170.518	-517.422	1181.32	9.48771	-494.222	1546.66	31.1066	-520.234	1554.1	309.438	-466.658	1164.54	292.427	-437.306
50	0	1353.71	169.58	-517.561	1182.32	8.50812	-494.412	1547.86	29.9689	-520.556	1555.63	308.128	-466.519	1166.19	291.57	-437.202
51	0	1355.17	168.66	-517.832	1183.22	8.07763	-495.026	1549	28.44	-520.752	1557.65	306.602	-466.612	1167.68	291.099	-437.545
52	0	1356.68	167.731	-518.238	1184.14	8.20827	-495.914	1549.67	26.4933	-521.526	1559.76	304.559	-466.688	1169.92	291.023	-437.786
53	0	1358.4	166.751	-518.482	1184.54	8.30537	-496.613	1550.52	24.3795	-522.056	1562.41	302.299	-466.892	1172.54	291.205	-437.963
54	0	1360.22	165.884	-519.036	1184.69	8.32694	-497.457	1551.07	22.0213	-522.989	1565.44	299.732	-467.198	1175.36	291.707	-438.275
55	0	1362.04	165.065	-519.765	1185.17	9.53351	-498.677	1551.65	19.2717	-523.535	1568.58	296.65	-467.496	1178.44	292.622	-438.843
56	0	1364.11	164.323	-520.488	1185.34	10.5635	-499.427	1551.72	16.0381	-524.411	1571.96	293.248	-467.806	1181.98	293.747	-439.233
57	0	1366.27	163.356	-520.901	1185.36	11.7428	-500.149	1552.08	12.9135	-525.227	1575.79	289.716	-468.263	1185.47	295.155	-439.944
58	0	1368.54	162.571	-521.67	1185.74	13.7567	-501.218	1552.07	9.4179	-526.045	1579.87	285.805	-468.653	1189.65	296.631	-440.24
59	0	1370.92	161.621	-522.225	1185.72	15.1715	-501.403	1552.06	5.66383	-526.584	1584.04	281.613	-469.112	1193.99	298.358	-440.832
60	0	1373.02	160.377	-522.717	1185.89	17.2344	-502.238	1552.09	1.76326	-526.998	1588.23	277.058	-469.434	1198.67	300.111	-441.318
61	0	1375.79	159.313	-523.109	1186.08	19.3236	-502.67	1552.04	-2.24217	-527.225	1592.73	272.51	-469.854	1203.43	301.819	-441.8
62	0	1378.38	157.986	-523.369	1186.36	21.1917	-502.664	1551.87	-6.48886	-527.079	1597.14	267.629	-470.093	1208.35	303.487	-442.269
63	0	1380.94	156.497	-523.504	1186.66	22.9984	-502.734	1551.91	-10.6707	-526.64	1601.45	262.592	-470.344	1213.54	304.961	-442.542
64	0	1383.59	154.816	-523.363	1187.19	24.6448	-502.445	1551.81	-15.0283	-526.044	1605.75	257.547	-470.532	1218.42	306.395	-443.277
65	0	1386.27	153.133	-523.385	1187.77	25.9359	-501.858	1551.61	-19.6328	-525.004	1609.94	252.519	-470.709	1223.45	307.529	-443.841
66	0	1388.93	151.122	-523.104	1188.45	27.0965	-501.202	1551.77	-23.8345	-524.04	1614.16	247.61	-470.918	1228.38	308.409	-444.509
67	0	1391.59	149.193	-523.017	1189.4	28.0703	-500.589	1551.92	-28.1438	-522.712	1617.88	242.614	-470.969	1233.19	308.929	-445.112
68	0	1394.1	146.855	-522.688	1190.37	28.4423	-499.746	1552.17	-32.5021	-520.886	1621.71	237.899	-471.178	1237.71	309.218	-446.208
69	0	1396.79	144.657	-522.619	1191.6	28.5995	-499.019	1552.81	-36.5454	-519.673	1625.29	233.376	-471.329	1242	309.194	-447.343
70	0	1399.27	142.184	-522.467	1193.02	28.4903	-498.338	1553.53	-40.4991	-517.898	1628.57	229.058	-471.526	1246.17	308.863	-448.656
71	0	1401.89	139.508	-522.119	1194.41	27.724	-497.591	1554.35	-44.4407	-516.027	1631.62	224.89	-471.585	1249.91	308.159	-450.201
72	0	1404	136.629	-522.079	1196.03	26.6726	-497.052	1555.64	-47.9778	-514.025	1634.46	221.013	-471.741	1253.36	307.182	-452.03
73	0	1406.61	134.115	-522.319	1197.98	25.321	-496.667	1557.1	-51.4198	-511.988	1637.31	217.665	-472.033	1256.56	305.836	-453.928
74	0	1409.13	131.211	-522.236	1199.88	23.372	-496.323	1558.93	-54.6916	-509.846	1639.89	214.457	-472.143	1259.27	304.156	-456.167
75	0	1411.54	128.493	-522.605	1202.16	21.1712	-496.112	1560.93	-57.6564	-507.89	1642.27	211.644	-472.3	1261.8	302.127	-458.35
