Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	965.27	391.692	-359.32	841.067	190.606	-347.399	1180.01	309.231	-424.725	1138.52	565.417	-310.419	776.177	444.65	-224.745
2	0	964.608	390.853	-358.848	841.467	189.123	-344.923	1179.23	309.113	-424.915	1136.96	565.914	-312.265	775.701	443.727	-223.905
3	0	963.716	390.088	-358.983	841.852	188.016	-342.638	1178.93	308.695	-424.767	1135.78	566.365	-314.409	775.414	443.384	-223.578
4	0	963.536	389.478	-359.148	841.874	187.365	-340.926	1178.51	308.064	-425.137	1135.14	566.589	-316.951	775.331	443.578	-223.826
5	0	963.542	388.901	-359.819	842.053	186.75	-338.919	1178.36	306.749	-425.203	1135	566.478	-319.853	775.432	444.305	-224.739
6	0	963.644	388.332	-360.743	841.826	186.757	-337.639	1178.29	305.138	-425.315	1135.4	566.113	-322.97	775.712	445.571	-226.201
7	0	963.794	387.995	-361.895	841.429	186.989	-336.231	1178.2	303.405	-425.462	1136.1	565.688	-326.145	775.98	447.477	-228.172
8	0	964.008	387.996	-363.189	840.559	187.934	-335.399	1178.16	301.5	-425.283	1137.21	565.225	-329.264	776.334	450.006	-230.45
9	0	964.117	388.212	-364.744	839.364	189.405	-334.797	1177.94	299.545	-425.131	1138.54	564.643	-332.297	776.693	453.111	-233.105
10	0	964.439	388.574	-366.347	837.757	191.266	-334.607	1177.7	297.329	-424.875	1140.24	563.844	-335.281	777.058	456.671	-236.227
11	0	964.895	388.972	-368.16	836.032	193.299	-334.521	1177.46	294.719	-424.366	1142.41	562.705	-338.249	777.609	460.577	-239.771
12	0	965.72	389.208	-369.825	834.038	195.66	-334.943	1177.32	291.752	-423.63	1145.31	561.336	-341.035	778.32	464.731	-243.816
13	0	966.693	389.457	-371.697	832.203	198.132	-335.468	1177.45	288.433	-422.291	1148.07	559.376	-343.514	779.215	469.088	-248.324
14	0	967.868	389.69	-373.617	830.162	200.897	-336.669	1177.76	285.046	-420.556	1151.51	557.337	-345.43	780.332	473.567	-253.232
15	0	969.427	389.95	-375.459	828.415	203.687	-338.074	1178.37	281.584	-418.298	1155.63	555.066	-346.626	781.681	478.047	-258.512
16	0	971.448	390.02	-377.101	826.978	206.377	-339.677	1179.22	278.003	-415.604	1159.83	552.718	-347.509	783.311	482.413	-264.111
17	0	973.87	389.935	-378.631	825.824	208.998	-341.65	1180.4	274.272	-412.294	1164.21	550.154	-347.745	785.172	486.59	-270.139
18	0	976.458	389.7	-380.14	824.962	211.553	-343.971	1181.8	270.516	-408.464	1167.99	546.901	-347.257	787.299	490.462	-276.258
19	0	979.306	389.376	-381.431	824.455	213.915	-346.432	1183.27	266.728	-404.173	1172.72	544.055	-346.218	789.744	494.098	-282.416
20	0	982.445	388.903	-382.375	824.253	216.052	-349.029	1185.12	263.027	-399.47	1177.28	541.034	-344.446	792.203	497.366	-288.588
21	0	985.743	388.324	-382.946	824.341	218.073	-351.86	1186.93	259.491	-394.512	1182.02	538.106	-341.895	795.075	500.345	-294.365
22	0	989.155	387.803	-383.293	824.75	219.896	-354.761	1188.81	256.141	-389.305	1186.34	535.123	-338.685	798.097	502.929	-299.771
23	0	992.685	387.128	-383.334	825.549	221.468	-357.741	1190.78	252.948	-383.989	1190.72	532.204	-334.934	801.176	505.089	-304.909
24	0	996.358	386.401	-383.095	826.684	222.865	-360.829	1192.71	249.886	-378.653	1194.84	529.346	-330.679	804.505	506.943	-309.625
