Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	1339.25	-351.318	-734.603	1132.01	-460.558	-698.065	1491.96	-509.99	-640.502	1557.58	-238.306	-688.24	1175.85	-178.634	-750.405
2	0	1336.37	-348.012	-735.919	1130.63	-459.562	-697.77	1491.79	-507.053	-647.054	1554.47	-234.123	-691.403	1171.58	-176.294	-745.014
3	0	1333.41	-344.78	-736.793	1129.14	-458.976	-697.337	1491.57	-503.921	-653.63	1551.17	-229.719	-694.538	1166.29	-175.043	-741.518
4	0	1329.74	-342.473	-737.939	1127.92	-458.412	-696.382	1491.37	-500.571	-660.062	1547.56	-225.166	-697.61	1161.52	-173.492	-736.395
5	0	1326.79	-338.792	-738.54	1126.51	-458.276	-695.392	1491.07	-496.995	-666.227	1543.71	-220.499	-700.557	1156.86	-171.888	-731.288
6	0	1323.25	-335.978	-739.374	1125.26	-458.234	-693.863	1490.64	-493.328	-672.098	1539.63	-215.785	-703.364	1151.75	-171.212	-725.551
7	0	1320.05	-332.636	-739.505	1123.94	-458.46	-692.309	1490.23	-489.469	-677.453	1535.3	-211.035	-705.996	1146.23	-171.038	-721.448
8	0	1316.17	-330.76	-739.287	1123.02	-458.709	-689.728	1489.41	-485.7	-682.629	1530.76	-206.368	-708.49	1141.01	-170.912	-716.349
9	0	1312.44	-328.552	-739.269	1121.58	-459.518	-688.255	1488.59	-481.895	-687.269	1526.07	-201.784	-710.773	1136.27	-170.582	-710.857
10	0	1308.78	-326.518	-738.939	1120	-460.938	-686.078	1487.74	-478.077	-691.63	1521.22	-197.272	-712.921	1130.72	-171.593	-706.2
11	0	1305	-324.843	-738.696	1119.26	-461.887	-683.234	1487.06	-474.141	-695.023	1516.35	-192.963	-714.894	1125.42	-172.829	-701.652
12	0	1301.47	-323.204	-738.057	1118.18	-463.293	-680.993	1485.58	-470.724	-698.805	1511.43	-188.772	-716.659	1120.49	-173.899	-697.142
13	0	1298.08	-321.732	-737.352	1117.36	-464.372	-678.584	1484.65	-467.126	-701.699	1506.53	-184.775	-718.178	1115.72	-175.003	-692.96
14	0	1295	-320.106	-736.403	1116.76	-465.618	-675.728	1483.75	-463.672	-703.943	1501.72	-181.002	-719.443	1111.09	-176.337	-689.245
15	0	1291.8	-319.37	-735.196	1116.23	-467.168	-673.367	1482.61	-460.416	-706.082	1497.05	-177.489	-720.473	1106.64	-178.012	-685.536
16	0	1288.91	-318.417	-734.286	1115.7	-468.668	-671.251	1481.86	-457.228	-707.51	1492.57	-174.146	-721.338	1102.88	-179.248	-681.698
17	0	1286.03	-317.861	-733.761	1115.42	-469.912	-668.873	1480.91	-454.254	-708.771	1488.33	-171.05	-721.883	1098.87	-180.85	-679.181
18	0	1283.72	-317.094	-732.693	1114.95	-471.238	-667.41	1480.14	-451.537	-709.654	1484.16	-168.392	-722.519	1095.25	-182.536	-676.802
19	0	1281.55	-316.573	-731.928	1115.16	-472.314	-665.068	1479.58	-448.951	-710.126	1480.75	-165.586	-722.618	1092.14	-183.722	-674.841
20	0	1279.68	-316.07	-731.406	1114.99	-473.874	-663.887	1479.03	-446.601	-710.318	1477.33	-163.316	-722.911	1089.3	-185.114	-673.17
21	0	1278.21	-315.616	-730.818	1115.06	-474.571	-662.644	1478.71	-444.43	-710.204	1474.63	-161.025	-722.705	1086.85	-186.339	-672.023
22	0	1277.07	-315.28	-730.161	1114.95	-475.417	-662.327	1478.77	-442.384	-709.628	1472.26	-159.189	-722.54	1084.67	-187.442	-671.496
23	0	1276.13	-315.019	-729.869	1115.38	-476.449	-661.855	1478.69	-440.618	-709.041	1470.11	-157.484	-722.369	1082.7	-188.466	-671.759
24	0	1275.64	-314.753	-729.696	1115.58	-476.954	-662.11	1478.8	-439.063	-708.278	1468.62	-155.912	-721.837	1081.24	-189.33	-672.311
25	0	1275.51	-314.476	-729.682	1115.91	-477.55	-662.588	1479.39	-437.622	-706.945	1467.59	-154.603	-721.268	1080.28	-190.059	-673.055
26	0	1275.69	-314.355	-729.811	1116.61	-477.886	-663.047	1479.97	-436.475	-705.609	1466.94	-153.552	-720.796	1079.6	-190.569	-674.736
27	0	1276.31	-314.241	-730.079	1117.14	-478.246	-664.382	1480.72	-435.55	-704.08	1466.91	-152.639	-719.819	1079.05	-191.259	-677.218
28	0	1277.16	-314.236	-730.701	1117.98	-478.495	-665.79	1481.74	-434.795	-702.095	1467.28	-151.985	-718.925	1079.31	-191.473	-679.627
29	0	1278.61	-314.171	-730.998	1118.98	-478.541	-667.416	1483.1	-434.211	-699.835	1468.07	-151.574	-717.834	1079.65	-191.814	-683.084
30	0	1280.23	-314.301	-731.611	1119.98	-478.754	-669.399	1484.52	-433.904	-697.357	1469.31	-151.333	-716.61	1080.65	-191.995	-686.456
31	0	1282.12	-314.559	-732.454	1121.31	-478.602	-671.705	1486.02	-433.829	-694.545	1470.97	-151.291	-715.259	1081.92	-192.281	-690.564
32	0	1284.46	-314.776	-733.159	1122.57	-478.598	-674.198	1487.68	-433.942	-691.438	1473.02	-151.538	-713.698	1083.68	-192.18	-694.984
33	0	1287.14	-315.083	-733.67	1123.95	-478.761	-676.657	1489.26	-434.363	-688.098	1475.38	-152.023	-712.004	1085.79	-192.31	-699.531
34	0	1289.95	-315.631	-734.513	1125.48	-478.45	-679.438	1491.12	-434.895	-684.147	1478.16	-152.737	-710.121	1088.28	-192.135	-704.801
35	0	1293.2	-316.212	-734.799	1127.15	-478.171	-682.264	1492.93	-435.696	-679.919	1481.25	-153.714	-708.085	1092.06	-190.956	-709.351
36	0	1296.4	-317.181	-735.615	1128.91	-477.973	-684.986	1494.65	-436.86	-675.503	1484.61	-154.997	-705.864	1094.77	-191.678	-715.627
37	0	1300.18	-318.036	-735.631	1131.16	-477.425	-687.566	1496.27	-438.263	-670.777	1488.22	-156.608	-703.514	1098.6	-191.606	-721.294
