Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	1145.37	-319.99	-447.394	955.854	-453.473	-399.163	1321.88	-457.796	-362.663	1350.8	-180.371	-414.272	961.572	-168.941	-454.011
2	0	1148.48	-325.122	-445.936	957.792	-456.131	-395.173	1323.82	-462.552	-358.704	1354.79	-186.463	-415.827	965.639	-172.864	-455.697
3	0	1151.2	-330.016	-444.475	959.662	-458.64	-391.333	1325.47	-467.253	-354.366	1358.77	-192.67	-416.794	969.712	-176.344	-456.914
4	0	1153.59	-334.554	-443.141	961.08	-460.557	-387.814	1326.46	-472.114	-350.753	1362.69	-198.798	-417.189	973.934	-179.578	-457.971
5	0	1156.37	-338.989	-441.514	962.235	-462.085	-384.8	1327.2	-477.223	-347.236	1366.49	-204.812	-417.132	977.775	-182.052	-458.584
6	0	1158.86	-342.635	-439.588	963.152	-463.238	-382.261	1328.43	-481.657	-343.794	1370.24	-210.627	-416.728	981.934	-184.462	-459.258
7	0	1161.3	-346.387	-438.643	964.251	-464.449	-380.657	1328.88	-486.277	-340.921	1373.89	-216.186	-416.061	986.032	-186.412	-459.807
8	0	1163.5	-349.559	-437.558	965.219	-465.33	-379.628	1329.52	-490.522	-338.445	1377.49	-221.389	-415.17	989.885	-187.856	-460.452
9	0	1165.71	-352.455	-437.075	966.256	-466.078	-379.342	1330.14	-494.544	-336.618	1381	-226.268	-414.151	993.943	-189.145	-461.122
10	0	1168.22	-354.911	-436.988	967.409	-466.673	-379.8	1330.68	-498.464	-335.293	1384.44	-230.731	-412.949	998.225	-190.233	-461.872
11	0	1170.47	-357.059	-436.92	968.416	-466.978	-381.293	1331.15	-502.24	-334.829	1387.84	-234.702	-411.53	1002	-190.679	-462.711
12	0	1173.29	-358.714	-436.938	969.804	-467.208	-383.117	1331.98	-505.361	-334.392	1391.07	-238.204	-409.885	1005.99	-190.921	-463.536
13	0	1175.75	-360.041	-437.562	971.107	-467.452	-386.037	1332.7	-508.404	-334.628	1394.28	-241.127	-407.944	1009.8	-190.816	-464.266
14	0	1178.46	-360.926	-438.362	972.736	-467.445	-389.371	1333.56	-511.044	-335.252	1397.33	-243.502	-405.717	1013.99	-190.656	-464.803
15	0	1181.09	-361.338	-439.197	974.516	-467.485	-393.285	1334.65	-513.298	-336.344	1400.26	-245.329	-403.218	1017.69	-189.973	-465.081
16	0	1183.75	-361.313	-439.875	976.498	-467.467	-397.682	1335.8	-515.362	-337.92	1403.01	-246.588	-400.442	1021.16	-189.137	-465.358
