Trajectories
100
		platform:platform1			platform:platform2			platform:platform3			platform:platform4			platform:platform5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	1015.34	-750.607	-236.78				1217.13	-858.372	-168.053	1204.5	-589.423	-257.216	816.071	-620.414	-229.738
2	0	1014.32	-750.125	-234.56	852.288	-893.833	-137.496	1217.07	-854.292	-164.406	1201.84	-586.346	-256.797	813.225	-622.458	-229.64
3	0	1013.71	-749.77	-232.356				1218.04	-850.284	-160.047	1199.23	-583.95	-256.071	811.012	-624.571	-229.692
4	0	1013.55	-749.609	-230.275	855.479	-894.278	-130.957	1218.54	-846.797	-155.955	1196.77	-581.974	-254.988	809.499	-626.893	-229.675
5	0	1013.9	-749.489	-228.067	857.151	-894.707	-128.027	1220.15	-843.041	-150.706	1195.78	-579.739	-253.662	808.523	-629.207	-229.972
6	0	1014.82	-749.429	-225.649				1221.31	-839.968	-146.341	1194.54	-578.221	-251.972	808.014	-631.694	-230.609
7	0	1016.29	-749.635	-223.308	860.826	-896.403	-122.238	1223.08	-836.973	-141.397	1194.29	-576.734	-250.125	808.259	-634.116	-231.17
8	0	1018.01	-749.912	-221.341	863.363	-897.082	-120.83	1225.08	-834.385	-136.453	1194.6	-575.432	-248.061	808.989	-636.603	-232.063
9	0	1020.25	-750.298	-219.353	867.961	-898.212	-119.633	1227.17	-832.137	-131.733	1195.45	-574.417	-245.852	810.2	-639.017	-233.296
10	0	1022.81	-750.862	-217.667	877.364	-894.629	-121.371	1229.41	-830.235	-127.168	1196.82	-573.675	-243.565	812.068	-641.508	-234.576
11	0	1025.68	-751.57	-216.166	875.196	-898.626	-117.665	1231.76	-828.827	-122.911	1198.65	-573.262	-241.229	814.348	-643.926	-236.263
12	0	1028.87	-752.442	-214.977	875.595	-901.704	-116.733	1234.32	-827.762	-118.666	1200.93	-573.099	-238.907	817.082	-646.283	-238.237
13	0	1032.34	-753.475	-214.007	878.08	-903.514	-116.931	1237.04	-827.002	-114.549	1203.69	-573.24	-236.705	820.175	-648.568	-240.586
14	0	1035.99	-754.615	-213.457	880.969	-904.707	-117.659	1239.48	-826.905	-110.935	1206.92	-573.587	-234.396	823.73	-650.756	-243.202
15	0	1039.83	-755.885	-213.279	891.489	-901.952	-122.892	1242.2	-827.253	-107.693	1210.7	-574.262	-232.479	827.711	-652.783	-246.041
16	0	1043.86	-757.308	-213.398	886.384	-907.822	-121.783	1244.98	-828.259	-105.371	1214.63	-575.351	-230.477	831.931	-654.71	-249.382
17	0	1048	-758.843	-213.929	892.119	-909.625	-124.972	1247.43	-829.673	-103.172	1218.9	-576.751	-228.627	836.55	-656.381	-252.889
18	0	1052.31	-760.559	-214.717				1250.24	-831.485	-101.076	1223.51	-578.56	-226.912	841.517	-657.94	-256.555
19	0	1056.63	-762.464	-215.888				1252.81	-833.93	-99.5347	1228.42	-580.699	-225.24	846.669	-659.289	-260.488
20	0	1061.04	-764.361	-217.2				1255.33	-836.967	-98.3006	1233.57	-583.222	-223.603	852.098	-660.445	-264.493
21	0	1065.49	-766.534	-218.684	898.812	-916.33	-138.728	1257.68	-840.525	-97.3575	1238.91	-586.216	-221.938	857.709	-661.338	-268.496
22	0	1069.87	-768.795	-220.322	902.725	-918.195	-144.235	1259.98	-844.607	-96.6146	1244.56	-589.487	-220.058	863.463	-662.013	-272.4
23	0	1074.08	-771.26	-222.114	905.119	-919.644	-149.153	1262.06	-849.399	-96.3957	1250.03	-593.371	-218.093	869.246	-662.471	-276.178
24	0	1078.22	-773.894	-223.867	908.812	-920.921	-154.763	1263.7	-854.911	-96.5859	1255.86	-597.853	-216.36	875.163	-662.63	-279.561
25	0	1082.14	-776.689	-225.596	909.804	-922.323	-159.47	1265.35	-860.797	-96.7868	1261.75	-602.775	-214.656	881.091	-662.555	-282.628
